2024-10-16 11:17:34.745: 
parameters:agent_test_episodes: 20
batch_num_per_epoch: 250000
device: cuda:0
env_name: ALE/DoubleDunk-v5
epsilon_for_test: 0.05
epsilon_max: 1.0
epsilon_min: 0.1
exp_name: ALE-DoubleDunk-v5_2024-10-16-11-17-34
exp_path: ../exps/dqn/
exploration_steps: 1000000
gamma: 0.99
held_out_states_num: 1000
learning_rate: 0.00025
mini_batch_size: 32
model_update_freq: 4
n_times: 5
no_op_max: 30
phi_channel: 4
replay_buffer_size: 1000000
replay_start_size: 50000
save_model: true
screen_size: 84
seed: 0
skip_k_frame: 4
step_c: 10000
training_steps: 50000000

2024-10-16 11:17:34.810: env id: ALE/DoubleDunk-v5 |repeat_action_probability: 0 
2024-10-16 11:17:34.810: screen_size: 84 | grayscale_obs:True 
scale_obs:False | action space size: 18
remove flickering: True | frame skip: 4
state space shape: (210, 160, 3) 
2024-10-16 11:17:34.828: optimizer: RMSprop (
2024-10-16 12:59:39.866: 9 avg_steps: 2730.15
2024-10-16 12:59:39.866: 9 epsilon: 0.1
2024-10-16 12:59:39.866: 9 q: 0.24787271
2024-10-16 13:10:13.488: 10 test start:
2024-10-16 13:11:03.062: 10 avg_reward: -19.1
2024-10-16 13:11:03.062: 10 avg_steps: 2452.15
2024-10-16 13:11:03.062: 10 epsilon: 0.1
2024-10-16 13:11:03.062: 10 q: 0.1928728
2024-10-16 13:21:41.678: 11 test start:
2024-10-16 13:22:29.876: 11 avg_reward: -19.4
2024-10-16 13:22:29.876: 11 avg_steps: 2405.9
2024-10-16 13:22:29.876: 11 epsilon: 0.1
2024-10-16 13:22:29.876: 11 q: 0.21427284
2024-10-16 13:33:07.549: 12 test start:
2024-10-16 13:34:00.165: 12 avg_reward: -20.4
2024-10-16 13:34:00.165: 12 avg_steps: 2649.2
2024-10-16 13:34:00.165: 12 epsilon: 0.1
2024-10-16 13:34:00.165: 12 q: 0.20313251
2024-10-16 13:44:35.060: 13 test start:
2024-10-16 13:45:20.520: 13 avg_reward: -19.9
2024-10-16 13:45:20.520: 13 avg_steps: 2239.75
2024-10-16 13:45:20.520: 13 epsilon: 0.1
2024-10-16 13:45:20.520: 13 q: 0.16494168
2024-10-16 13:55:54.850: 14 test start:
2024-10-16 13:56:45.836: 14 avg_reward: -20.4
2024-10-16 13:56:45.836: 14 avg_steps: 2519.3
2024-10-16 13:56:45.837: 14 epsilon: 0.1
2024-10-16 13:56:45.837: 14 q: 0.19236304
2024-10-16 14:07:24.285: 15 test start:
2024-10-16 14:08:15.713: 15 avg_reward: -22.1
2024-10-16 14:08:15.713: 15 avg_steps: 2554.8
2024-10-16 14:08:15.713: 15 epsilon: 0.1
2024-10-16 14:08:15.713: 15 q: 0.2011098
2024-10-16 14:18:54.580: 16 test start:
2024-10-16 14:19:46.450: 16 avg_reward: -21.1
2024-10-16 14:19:46.450: 16 avg_steps: 2566.4
2024-10-16 14:19:46.450: 16 epsilon: 0.1
2024-10-16 14:19:46.450: 16 q: 0.21707489
2024-10-16 14:30:23.129: 17 test start:
2024-10-16 14:31:15.000: 17 avg_reward: -20.6
2024-10-16 14:31:15.000: 17 avg_steps: 2577.2
2024-10-16 14:31:15.000: 17 epsilon: 0.1
2024-10-16 14:31:15.000: 17 q: 0.17671439
2024-10-16 14:41:57.382: 18 test start:
2024-10-16 14:42:48.097: 18 avg_reward: -20.9
2024-10-16 14:42:48.097: 18 avg_steps: 2525.4
2024-10-16 14:42:48.097: 18 epsilon: 0.1
2024-10-16 14:42:48.097: 18 q: 0.1593277
2024-10-16 14:53:21.762: 19 test start:
2024-10-16 14:54:10.082: 19 avg_reward: -20.7
2024-10-16 14:54:10.083: 19 avg_steps: 2407.45
2024-10-16 14:54:10.083: 19 epsilon: 0.1
2024-10-16 14:54:10.083: 19 q: 0.19059338
2024-10-16 15:04:52.174: 20 test start:
2024-10-16 15:05:40.814: 20 avg_reward: -19.7
2024-10-16 15:05:40.814: 20 avg_steps: 2415.75
2024-10-16 15:05:40.814: 20 epsilon: 0.1
2024-10-16 15:05:40.814: 20 q: 0.22498538
2024-10-16 15:16:09.530: 21 test start:
2024-10-16 15:16:55.053: 21 avg_reward: -20.4
2024-10-16 15:16:55.053: 21 avg_steps: 2257.25
2024-10-16 15:16:55.053: 21 epsilon: 0.1
2024-10-16 15:16:55.053: 21 q: 0.29154393
2024-10-16 15:27:32.373: 22 test start:
2024-10-16 15:28:18.981: 22 avg_reward: -18.9
2024-10-16 15:28:18.981: 22 avg_steps: 2316.0
2024-10-16 15:28:18.981: 22 epsilon: 0.1
2024-10-16 15:28:18.981: 22 q: 0.3338626
2024-10-16 15:39:01.309: 23 test start:
2024-10-16 15:39:50.672: 23 avg_reward: -19.8
2024-10-16 15:39:50.672: 23 avg_steps: 2460.05
2024-10-16 15:39:50.672: 23 epsilon: 0.1
2024-10-16 15:39:50.672: 23 q: 0.30366802
2024-10-16 15:50:30.339: 24 test start:
2024-10-16 15:51:18.503: 24 avg_reward: -19.6
2024-10-16 15:51:18.504: 24 avg_steps: 2418.4
2024-10-16 15:51:18.504: 24 epsilon: 0.1
2024-10-16 15:51:18.504: 24 q: 0.34009963
2024-10-16 16:01:45.526: 25 test start:
2024-10-16 16:02:39.690: 25 avg_reward: -18.4
2024-10-16 16:02:39.691: 25 avg_steps: 2814.4
2024-10-16 16:02:39.691: 25 epsilon: 0.1
2024-10-16 16:02:39.691: 25 q: 0.35159415
2024-10-16 16:13:08.689: 26 test start:
2024-10-16 16:13:55.183: 26 avg_reward: -17.7
2024-10-16 16:13:55.183: 26 avg_steps: 2319.5
2024-10-16 16:13:55.183: 26 epsilon: 0.1
2024-10-16 16:13:55.183: 26 q: 0.3360474
2024-10-16 16:24:33.854: 27 test start:
2024-10-16 16:25:29.469: 27 avg_reward: -18.1
2024-10-16 16:25:29.469: 27 avg_steps: 2796.25
2024-10-16 16:25:29.469: 27 epsilon: 0.1
2024-10-16 16:25:29.469: 27 q: 0.39883557
2024-10-16 16:36:06.613: 28 test start:
2024-10-16 16:37:00.928: 28 avg_reward: -19.8
2024-10-16 16:37:00.928: 28 avg_steps: 2705.5
2024-10-16 16:37:00.929: 28 epsilon: 0.1
2024-10-16 16:37:00.929: 28 q: 0.39960963
2024-10-16 16:47:41.303: 29 test start:
2024-10-16 16:48:32.682: 29 avg_reward: -19.5
2024-10-16 16:48:32.682: 29 avg_steps: 2599.0
2024-10-16 16:48:32.682: 29 epsilon: 0.1
2024-10-16 16:48:32.682: 29 q: 0.38597205
2024-10-16 16:58:40.266: 30 test start:
2024-10-16 16:59:33.838: 30 avg_reward: -16.9
2024-10-16 16:59:33.839: 30 avg_steps: 2678.5
2024-10-16 16:59:33.839: 30 epsilon: 0.1
2024-10-16 16:59:33.839: 30 q: 0.39478168
2024-10-16 17:10:09.347: 31 test start:
2024-10-16 17:11:02.010: 31 avg_reward: -19.2
2024-10-16 17:11:02.010: 31 avg_steps: 2745.45
2024-10-16 17:11:02.010: 31 epsilon: 0.1
2024-10-16 17:11:02.010: 31 q: 0.4038231
2024-10-16 17:21:41.145: 32 test start:
2024-10-16 17:22:36.648: 32 avg_reward: -17.3
2024-10-16 17:22:36.648: 32 avg_steps: 2802.5
2024-10-16 17:22:36.648: 32 epsilon: 0.1
2024-10-16 17:22:36.648: 32 q: 0.4368431
2024-10-16 17:32:49.954: 33 test start:
2024-10-16 17:33:56.054: 33 avg_reward: -20.7
2024-10-16 17:33:56.055: 33 avg_steps: 3304.3
2024-10-16 17:33:56.055: 33 epsilon: 0.1
2024-10-16 17:33:56.055: 33 q: 0.42488936
2024-10-16 17:44:30.924: 34 test start:
2024-10-16 17:45:21.673: 34 avg_reward: -18.6
2024-10-16 17:45:21.673: 34 avg_steps: 2612.95
2024-10-16 17:45:21.673: 34 epsilon: 0.1
2024-10-16 17:45:21.673: 34 q: 0.40752062
2024-10-16 17:55:56.095: 35 test start:
2024-10-16 17:56:55.079: 35 avg_reward: -21.1
2024-10-16 17:56:55.079: 35 avg_steps: 2964.1
2024-10-16 17:56:55.079: 35 epsilon: 0.1
2024-10-16 17:56:55.079: 35 q: 0.41290233
2024-10-16 18:07:11.495: 36 test start:
2024-10-16 18:07:42.089: 36 avg_reward: -23.4
2024-10-16 18:07:42.089: 36 avg_steps: 1512.1
2024-10-16 18:07:42.089: 36 epsilon: 0.1
2024-10-16 18:07:42.089: 36 q: 0.4314013
2024-10-16 18:18:16.752: 37 test start:
2024-10-16 18:19:11.981: 37 avg_reward: -19.7
2024-10-16 18:19:11.981: 37 avg_steps: 2831.8
2024-10-16 18:19:11.981: 37 epsilon: 0.1
2024-10-16 18:19:11.981: 37 q: 0.45038787
2024-10-16 18:29:40.223: 38 test start:
2024-10-16 18:30:31.520: 38 avg_reward: -17.1
2024-10-16 18:30:31.520: 38 avg_steps: 2566.2
2024-10-16 18:30:31.520: 38 epsilon: 0.1
2024-10-16 18:30:31.520: 38 q: 0.44928733
2024-10-16 18:41:11.408: 39 test start:
2024-10-16 18:42:02.619: 39 avg_reward: -19.2
2024-10-16 18:42:02.619: 39 avg_steps: 2520.35
2024-10-16 18:42:02.619: 39 epsilon: 0.1
2024-10-16 18:42:02.619: 39 q: 0.39948907
2024-10-16 18:52:21.938: 40 test start:
2024-10-16 18:53:11.017: 40 avg_reward: -18.8
2024-10-16 18:53:11.017: 40 avg_steps: 2528.55
2024-10-16 18:53:11.017: 40 epsilon: 0.1
2024-10-16 18:53:11.017: 40 q: 0.40725204
2024-10-16 19:03:45.499: 41 test start:
2024-10-16 19:04:32.454: 41 avg_reward: -19.7
2024-10-16 19:04:32.454: 41 avg_steps: 2322.95
2024-10-16 19:04:32.454: 41 epsilon: 0.1
2024-10-16 19:04:32.454: 41 q: 0.41589263
2024-10-16 19:14:47.782: 42 test start:
2024-10-16 19:15:37.932: 42 avg_reward: -18.5
2024-10-16 19:15:37.932: 42 avg_steps: 2472.15
2024-10-16 19:15:37.932: 42 epsilon: 0.1
2024-10-16 19:15:37.932: 42 q: 0.39460078
2024-10-16 19:26:07.275: 43 test start:
2024-10-16 19:27:00.073: 43 avg_reward: -19.5
2024-10-16 19:27:00.073: 43 avg_steps: 2762.4
2024-10-16 19:27:00.073: 43 epsilon: 0.1
2024-10-16 19:27:00.073: 43 q: 0.42511624
2024-10-16 19:37:35.221: 44 test start:
2024-10-16 19:38:25.666: 44 avg_reward: -18.9
2024-10-16 19:38:25.666: 44 avg_steps: 2585.4
2024-10-16 19:38:25.666: 44 epsilon: 0.1
2024-10-16 19:38:25.666: 44 q: 0.3979487
2024-10-16 19:48:40.380: 45 test start:
2024-10-16 19:49:27.288: 45 avg_reward: -22.9
2024-10-16 19:49:27.288: 45 avg_steps: 2387.15
2024-10-16 19:49:27.288: 45 epsilon: 0.1
2024-10-16 19:49:27.289: 45 q: 0.41186774
2024-10-16 20:00:04.530: 46 test start:
2024-10-16 20:00:53.904: 46 avg_reward: -19.3
2024-10-16 20:00:53.904: 46 avg_steps: 2566.75
2024-10-16 20:00:53.904: 46 epsilon: 0.1
2024-10-16 20:00:53.905: 46 q: 0.43063378
2024-10-16 20:11:21.081: 47 test start:
2024-10-16 20:12:13.877: 47 avg_reward: -18.5
2024-10-16 20:12:13.877: 47 avg_steps: 2642.3
2024-10-16 20:12:13.877: 47 epsilon: 0.1
2024-10-16 20:12:13.877: 47 q: 0.44037035
2024-10-16 20:22:35.543: 48 test start:
2024-10-16 20:23:28.936: 48 avg_reward: -20.6
2024-10-16 20:23:28.937: 48 avg_steps: 2845.65
2024-10-16 20:23:28.937: 48 epsilon: 0.1
2024-10-16 20:23:28.937: 48 q: 0.47056657
2024-10-16 20:33:59.177: 49 test start:
2024-10-16 20:34:50.563: 49 avg_reward: -18.5
2024-10-16 20:34:50.563: 49 avg_steps: 2619.3
2024-10-16 20:34:50.563: 49 epsilon: 0.1
2024-10-16 20:34:50.563: 49 q: 0.45229036
2024-10-16 20:45:05.243: 50 test start:
2024-10-16 20:45:55.661: 50 avg_reward: -18.6
2024-10-16 20:45:55.661: 50 avg_steps: 2671.6
2024-10-16 20:45:55.662: 50 epsilon: 0.1
2024-10-16 20:45:55.662: 50 q: 0.45447454
2024-10-16 20:56:44.267: 51 test start:
2024-10-16 20:57:38.388: 51 avg_reward: -18.5
2024-10-16 20:57:38.388: 51 avg_steps: 2787.15
2024-10-16 20:57:38.388: 51 epsilon: 0.1
2024-10-16 20:57:38.388: 51 q: 0.50194657
2024-10-16 21:07:46.292: 52 test start:
2024-10-16 21:08:39.457: 52 avg_reward: -21.0
2024-10-16 21:08:39.457: 52 avg_steps: 2639.0
2024-10-16 21:08:39.457: 52 epsilon: 0.1
2024-10-16 21:08:39.457: 52 q: 0.5164988
2024-10-16 21:19:18.400: 53 test start:
2024-10-16 21:20:06.372: 53 avg_reward: -22.2
2024-10-16 21:20:06.373: 53 avg_steps: 2449.8
2024-10-16 21:20:06.373: 53 epsilon: 0.1
2024-10-16 21:20:06.373: 53 q: 0.4741341
2024-10-16 21:30:30.713: 54 test start:
2024-10-16 21:31:32.224: 54 avg_reward: -19.1
2024-10-16 21:31:32.225: 54 avg_steps: 3041.0
2024-10-16 21:31:32.225: 54 epsilon: 0.1
2024-10-16 21:31:32.225: 54 q: 0.52760255
2024-10-16 21:41:49.926: 55 test start:
2024-10-16 21:42:41.444: 55 avg_reward: -17.0
2024-10-16 21:42:41.444: 55 avg_steps: 2665.7
2024-10-16 21:42:41.444: 55 epsilon: 0.1
2024-10-16 21:42:41.444: 55 q: 0.5157819
2024-10-16 21:53:26.141: 56 test start:
2024-10-16 21:54:09.907: 56 avg_reward: -20.0
2024-10-16 21:54:09.907: 56 avg_steps: 2188.35
2024-10-16 21:54:09.907: 56 epsilon: 0.1
2024-10-16 21:54:09.907: 56 q: 0.5618393
2024-10-16 22:04:26.744: 57 test start:
2024-10-16 22:05:17.495: 57 avg_reward: -18.7
2024-10-16 22:05:17.495: 57 avg_steps: 2523.7
2024-10-16 22:05:17.495: 57 epsilon: 0.1
2024-10-16 22:05:17.495: 57 q: 0.5557997
2024-10-16 22:15:52.390: 58 test start:
2024-10-16 22:16:47.014: 58 avg_reward: -17.7
2024-10-16 22:16:47.014: 58 avg_steps: 2810.55
2024-10-16 22:16:47.014: 58 epsilon: 0.1
2024-10-16 22:16:47.014: 58 q: 0.58949697
2024-10-16 22:27:09.514: 59 test start:
2024-10-16 22:28:06.127: 59 avg_reward: -17.8
2024-10-16 22:28:06.127: 59 avg_steps: 2798.1
2024-10-16 22:28:06.127: 59 epsilon: 0.1
2024-10-16 22:28:06.127: 59 q: 0.5658304
2024-10-16 22:38:27.446: 60 test start:
2024-10-16 22:39:22.307: 60 avg_reward: -17.6
2024-10-16 22:39:22.307: 60 avg_steps: 2788.35
2024-10-16 22:39:22.307: 60 epsilon: 0.1
2024-10-16 22:39:22.307: 60 q: 0.5790755
2024-10-16 22:50:04.899: 61 test start:
2024-10-16 22:51:06.575: 61 avg_reward: -17.5
2024-10-16 22:51:06.576: 61 avg_steps: 3069.8
2024-10-16 22:51:06.576: 61 epsilon: 0.1
2024-10-16 22:51:06.576: 61 q: 0.5922687
2024-10-16 23:01:18.445: 62 test start:
2024-10-16 23:01:57.716: 62 avg_reward: -23.4
2024-10-16 23:01:57.717: 62 avg_steps: 1970.95
2024-10-16 23:01:57.717: 62 epsilon: 0.1
2024-10-16 23:01:57.717: 62 q: 0.58318007
2024-10-16 23:12:46.875: 63 test start:
2024-10-16 23:13:39.451: 63 avg_reward: -17.4
2024-10-16 23:13:39.452: 63 avg_steps: 2720.85
2024-10-16 23:13:39.457: 63 epsilon: 0.1
2024-10-16 23:13:39.457: 63 q: 0.5985364
2024-10-16 23:23:56.822: 64 test start:
2024-10-16 23:24:43.261: 64 avg_reward: -20.4
2024-10-16 23:24:43.261: 64 avg_steps: 2286.9
2024-10-16 23:24:43.261: 64 epsilon: 0.1
2024-10-16 23:24:43.261: 64 q: 0.6270318
2024-10-16 23:35:20.554: 65 test start:
2024-10-16 23:36:14.254: 65 avg_reward: -18.3
2024-10-16 23:36:14.254: 65 avg_steps: 2765.05
2024-10-16 23:36:14.254: 65 epsilon: 0.1
2024-10-16 23:36:14.255: 65 q: 0.5919164
2024-10-16 23:46:42.326: 66 test start:
2024-10-16 23:47:37.271: 66 avg_reward: -19.2
2024-10-16 23:47:37.271: 66 avg_steps: 2728.1
2024-10-16 23:47:37.271: 66 epsilon: 0.1
2024-10-16 23:47:37.271: 66 q: 0.58682543
2024-10-16 23:57:49.535: 67 test start:
2024-10-16 23:58:43.401: 67 avg_reward: -18.3
2024-10-16 23:58:43.401: 67 avg_steps: 2789.8
2024-10-16 23:58:43.401: 67 epsilon: 0.1
2024-10-16 23:58:43.401: 67 q: 0.5801569
2024-10-17 00:09:26.953: 68 test start:
2024-10-17 00:10:27.157: 68 avg_reward: -17.2
2024-10-17 00:10:27.157: 68 avg_steps: 3008.6
2024-10-17 00:10:27.157: 68 epsilon: 0.1
2024-10-17 00:10:27.157: 68 q: 0.5367399
2024-10-17 00:20:34.457: 69 test start:
2024-10-17 00:21:34.729: 69 avg_reward: -16.7
2024-10-17 00:21:34.729: 69 avg_steps: 2959.1
2024-10-17 00:21:34.729: 69 epsilon: 0.1
2024-10-17 00:21:34.729: 69 q: 0.51749694
2024-10-17 00:32:09.688: 70 test start:
2024-10-17 00:33:11.473: 70 avg_reward: -16.5
2024-10-17 00:33:11.473: 70 avg_steps: 3153.4
2024-10-17 00:33:11.473: 70 epsilon: 0.1
2024-10-17 00:33:11.473: 70 q: 0.5154538
2024-10-17 00:43:37.588: 71 test start:
2024-10-17 00:44:37.322: 71 avg_reward: -16.6
2024-10-17 00:44:37.322: 71 avg_steps: 2963.6
2024-10-17 00:44:37.322: 71 epsilon: 0.1
2024-10-17 00:44:37.322: 71 q: 0.52380943
2024-10-17 00:54:51.125: 72 test start:
2024-10-17 00:55:44.796: 72 avg_reward: -17.7
2024-10-17 00:55:44.796: 72 avg_steps: 2759.9
2024-10-17 00:55:44.796: 72 epsilon: 0.1
2024-10-17 00:55:44.796: 72 q: 0.5129142
2024-10-17 01:06:21.728: 73 test start:
2024-10-17 01:07:26.002: 73 avg_reward: -17.4
2024-10-17 01:07:26.002: 73 avg_steps: 3187.1
2024-10-17 01:07:26.002: 73 epsilon: 0.1
2024-10-17 01:07:26.002: 73 q: 0.4677348
2024-10-17 01:17:37.116: 74 test start:
2024-10-17 01:18:34.186: 74 avg_reward: -19.4
2024-10-17 01:18:34.187: 74 avg_steps: 2835.25
2024-10-17 01:18:34.187: 74 epsilon: 0.1
2024-10-17 01:18:34.187: 74 q: 0.45100492
2024-10-17 01:29:14.523: 75 test start:
2024-10-17 01:30:08.397: 75 avg_reward: -19.6
2024-10-17 01:30:08.397: 75 avg_steps: 2790.0
2024-10-17 01:30:08.397: 75 epsilon: 0.1
2024-10-17 01:30:08.397: 75 q: 0.45019683
2024-10-17 01:40:26.815: 76 test start:
2024-10-17 01:41:23.886: 76 avg_reward: -17.5
2024-10-17 01:41:23.886: 76 avg_steps: 2907.85
2024-10-17 01:41:23.886: 76 epsilon: 0.1
2024-10-17 01:41:23.886: 76 q: 0.4197768
2024-10-17 01:51:44.655: 77 test start:
2024-10-17 01:52:37.796: 77 avg_reward: -17.5
2024-10-17 01:52:37.796: 77 avg_steps: 2790.2
2024-10-17 01:52:37.796: 77 epsilon: 0.1
2024-10-17 01:52:37.797: 77 q: 0.40123552
2024-10-17 02:03:21.197: 78 test start:
2024-10-17 02:04:24.906: 78 avg_reward: -17.4
2024-10-17 02:04:24.906: 78 avg_steps: 3207.2
2024-10-17 02:04:24.906: 78 epsilon: 0.1
2024-10-17 02:04:24.906: 78 q: 0.3921797
2024-10-17 02:14:33.071: 79 test start:
2024-10-17 02:15:30.608: 79 avg_reward: -18.3
2024-10-17 02:15:30.609: 79 avg_steps: 2849.45
2024-10-17 02:15:30.609: 79 epsilon: 0.1
2024-10-17 02:15:30.609: 79 q: 0.39182225
2024-10-17 02:26:13.866: 80 test start:
2024-10-17 02:27:21.857: 80 avg_reward: -16.2
2024-10-17 02:27:21.857: 80 avg_steps: 3491.0
2024-10-17 02:27:21.857: 80 epsilon: 0.1
2024-10-17 02:27:21.857: 80 q: 0.38421476
2024-10-17 02:37:37.669: 81 test start:
2024-10-17 02:38:38.519: 81 avg_reward: -16.1
2024-10-17 02:38:38.519: 81 avg_steps: 3017.1
2024-10-17 02:38:38.519: 81 epsilon: 0.1
2024-10-17 02:38:38.519: 81 q: 0.36950275
2024-10-17 02:49:02.789: 82 test start:
2024-10-17 02:50:05.077: 82 avg_reward: -17.0
2024-10-17 02:50:05.077: 82 avg_steps: 3173.15
2024-10-17 02:50:05.077: 82 epsilon: 0.1
2024-10-17 02:50:05.077: 82 q: 0.398565
2024-10-17 03:00:34.035: 83 test start:
2024-10-17 03:01:30.711: 83 avg_reward: -16.9
2024-10-17 03:01:30.712: 83 avg_steps: 2820.2
2024-10-17 03:01:30.712: 83 epsilon: 0.1
2024-10-17 03:01:30.712: 83 q: 0.45078805
2024-10-17 03:11:41.624: 84 test start:
2024-10-17 03:12:32.718: 84 avg_reward: -15.8
2024-10-17 03:12:32.718: 84 avg_steps: 2577.9
2024-10-17 03:12:32.718: 84 epsilon: 0.1
2024-10-17 03:12:32.718: 84 q: 0.44209453
2024-10-17 03:23:13.832: 85 test start:
2024-10-17 03:24:08.731: 85 avg_reward: -15.1
2024-10-17 03:24:08.731: 85 avg_steps: 2804.0
2024-10-17 03:24:08.731: 85 epsilon: 0.1
2024-10-17 03:24:08.731: 85 q: 0.42729932
2024-10-17 03:34:26.314: 86 test start:
2024-10-17 03:35:25.645: 86 avg_reward: -15.1
2024-10-17 03:35:25.645: 86 avg_steps: 2899.9
2024-10-17 03:35:25.645: 86 epsilon: 0.1
2024-10-17 03:35:25.645: 86 q: 0.4373841
2024-10-17 03:45:59.984: 87 test start:
2024-10-17 03:47:01.215: 87 avg_reward: -15.9
2024-10-17 03:47:01.215: 87 avg_steps: 3121.05
2024-10-17 03:47:01.215: 87 epsilon: 0.1
2024-10-17 03:47:01.215: 87 q: 0.42633605
2024-10-17 03:57:25.913: 88 test start:
2024-10-17 03:58:25.982: 88 avg_reward: -17.5
2024-10-17 03:58:25.982: 88 avg_steps: 2940.15
2024-10-17 03:58:25.982: 88 epsilon: 0.1
2024-10-17 03:58:25.982: 88 q: 0.41498414
2024-10-17 04:08:52.243: 89 test start:
2024-10-17 04:09:43.157: 89 avg_reward: -16.9
2024-10-17 04:09:43.157: 89 avg_steps: 2587.2
2024-10-17 04:09:43.157: 89 epsilon: 0.1
2024-10-17 04:09:43.157: 89 q: 0.4209517
2024-10-17 04:20:20.497: 90 test start:
2024-10-17 04:21:27.390: 90 avg_reward: -16.9
2024-10-17 04:21:27.390: 90 avg_steps: 3273.3
2024-10-17 04:21:27.390: 90 epsilon: 0.1
2024-10-17 04:21:27.390: 90 q: 0.39744663
2024-10-17 04:31:42.405: 91 test start:
2024-10-17 04:32:42.682: 91 avg_reward: -16.9
2024-10-17 04:32:42.682: 91 avg_steps: 2956.8
2024-10-17 04:32:42.683: 91 epsilon: 0.1
2024-10-17 04:32:42.683: 91 q: 0.39283985
2024-10-17 04:43:16.871: 92 test start:
2024-10-17 04:44:11.686: 92 avg_reward: -15.3
2024-10-17 04:44:11.686: 92 avg_steps: 2771.3
2024-10-17 04:44:11.687: 92 epsilon: 0.1
2024-10-17 04:44:11.687: 92 q: 0.38250044
2024-10-17 04:54:38.133: 93 test start:
2024-10-17 04:55:38.927: 93 avg_reward: -16.6
2024-10-17 04:55:38.927: 93 avg_steps: 3003.75
2024-10-17 04:55:38.927: 93 epsilon: 0.1
2024-10-17 04:55:38.927: 93 q: 0.3903196
2024-10-17 05:05:59.599: 94 test start:
2024-10-17 05:06:51.004: 94 avg_reward: -14.2
2024-10-17 05:06:51.004: 94 avg_steps: 2644.25
2024-10-17 05:06:51.004: 94 epsilon: 0.1
2024-10-17 05:06:51.004: 94 q: 0.36504242
2024-10-17 05:17:23.043: 95 test start:
2024-10-17 05:18:20.160: 95 avg_reward: -14.6
2024-10-17 05:18:20.160: 95 avg_steps: 2832.35
2024-10-17 05:18:20.160: 95 epsilon: 0.1
2024-10-17 05:18:20.160: 95 q: 0.37799048
